"Cell_ID_Myeloid","Cell_ID_T_Cell","Distance","Cell_type"
"M_105","T_5",2714.38016364894,"H+"
"M_106","T_5",2355.44010734026,"H+"
"M_107","T_5",2291.88231167464,"H+"
"M_108","T_5",1957.0390734055,"H+"
"M_109","T_5",2774.59416685378,"H+"
"M_110","T_5",2683.65976862708,"H+"
"M_111","T_5",2267.11015578606,"H+"
"M_112","T_5",2357.98801870798,"H+"
"M_113","T_5",2405.75200915113,"H+"
"M_114","T_5",2544.51556726838,"H-"
"M_115","T_5",2970.4062220868,"H+"
"M_116","T_5",2256.12710509954,"H+"
"M_1","T_6",842.092246817434,"H+"
"M_2","T_6",1345.23100306266,"H-"
"M_3","T_6",950.493141187495,"H-"
"M_4","T_6",202.165963111049,"H+"
"M_5","T_6",1055.51922439885,"H+"
"M_6","T_6",728.143942542154,"H+"
"M_7","T_6",1420.0650255118,"H-"
"M_8","T_6",90.3128845907163,"H+"
"M_9","T_6",806.471599967669,"H+"
"M_10","T_6",1102.96257427927,"H-"
"M_11","T_6",280.120191297987,"H+"
"M_12","T_6",207.025613254418,"H+"
"M_13","T_6",1034.66610629522,"H+"
"M_14","T_6",602.944211589788,"H+"
"M_15","T_6",425.87373272782,"H+"
"M_16","T_6",537.195719706219,"H+"
"M_17","T_6",1029.84824888,"H+"
"M_18","T_6",353.069795480512,"H+"
"M_19","T_6",1344.43253245996,"H+"
"M_20","T_6",914.544656670373,"H+"
"M_21","T_6",1210.84584714262,"H+"
"M_22","T_6",1446.99648616178,"H-"
"M_23","T_6",472.843071373845,"H+"
"M_24","T_6",730.802889459031,"H+"
"M_25","T_6",553.277540148331,"H+"
"M_26","T_6",590.576832196043,"H+"
"M_27","T_6",1086.47765382837,"H+"
"M_28","T_6",920.178878852615,"H+"
"M_29","T_6",1522.88564519288,"H-"
"M_30","T_6",1404.84413909717,"H-"
"M_31","T_6",665.494735716003,"H+"
"M_32","T_6",850.435302632114,"H+"
"M_33","T_6",673.987072366087,"H+"
"M_34","T_6",1215.0612261875,"H+"
"M_35","T_6",1758.96548946368,"H+"
"M_36","T_6",762.151492360599,"H+"
"M_37","T_6",829.06868690253,"H+"
"M_38","T_6",767.191653294771,"H+"
"M_39","T_6",1004.61608897721,"H-"
"M_40","T_6",1438.54166246353,"H-"
"M_41","T_6",828.822273072942,"H-"
"M_42","T_6",913.795287442252,"H+"
"M_43","T_6",1501.8158377647,"H+"
"M_44","T_6",1240.32525363028,"H+"
"M_45","T_6",1798.69124620163,"H+"
"M_46","T_6",899.297302077843,"H+"
"M_47","T_6",1218.11266290468,"H+"
"M_48","T_6",1396.89234462388,"H+"
"M_49","T_6",1653.59251538464,"H+"
"M_50","T_6",1127.0126500877,"H+"
"M_51","T_6",1494.13511636267,"H+"
"M_52","T_6",1722.61787066736,"H+"
"M_53","T_6",1043.36375700756,"H+"
